"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1","1","32","0","2","117","3","13","4","2","2","2","73","3","2","8","4","3","4403","9250","2","0","11","3","3","1","8","3","2","5","2","0","3"
"2","2","40","0","2","1308","2","14","3","4","3","2","44","2","5","6","3","1","19626","17544","1","0","14","3","1","0","21","2","4","20","7","4","9"
"3","3","35","0","3","200","2","18","2","2","3","2","60","3","3","5","4","1","9362","19944","2","0","11","3","3","0","10","2","3","2","2","2","2"
"4","4","32","0","2","801","3","1","4","3","3","1","48","3","3","8","4","2","10422","24032","1","0","19","3","3","2","14","3","3","14","10","5","7"
"5","5","24","0","3","567","2","2","1","6","1","1","32","3","1","7","4","1","3760","17218","1","1","13","3","3","0","6","2","3","6","3","1","3"
"6","6","27","0","3","294","2","10","2","2","4","2","32","3","3","5","1","3","8793","4809","1","0","21","4","3","2","9","4","2","9","7","1","7"
"7","7","41","0","2","1283","2","5","5","4","2","2","90","4","1","7","3","2","2127","5561","2","1","12","3","1","0","7","5","2","4","2","0","3"
"8","8","37","0","2","309","3","10","4","2","4","1","88","2","2","8","4","3","6694","24223","2","1","14","3","3","3","8","5","3","1","0","0","0"
"9","9","34","0","2","1333","3","10","4","2","3","1","87","3","1","9","3","2","2220","18410","1","1","19","3","4","1","1","2","3","1","1","0","0"
"10","10","34","0","3","653","2","10","4","6","4","2","92","2","2","1","3","2","5063","15332","1","0","14","3","2","1","8","3","2","8","2","7","7"
"11","11","43","0","2","823","2","6","3","4","1","1","81","2","5","4","3","2","19392","22539","7","0","13","3","4","0","21","2","3","16","12","6","14"
"12","12","28","0","1","280","1","1","2","2","3","2","43","3","1","2","4","3","2706","10494","1","0","15","3","2","1","3","2","3","3","2","2","2"
"13","13","35","0","2","950","2","7","3","5","3","2","59","3","3","5","3","1","10221","18869","3","0","21","4","2","0","17","3","4","8","5","1","6"
"14","14","30","0","2","202","3","2","1","6","3","2","72","3","1","9","2","2","2476","17434","1","0","18","3","1","1","1","3","3","1","0","0","0"
"15","15","46","0","2","991","1","1","2","2","4","1","44","3","1","2","1","1","3423","22957","6","0","12","3","3","0","10","3","4","7","6","5","7"
"16","16","31","0","1","1188","3","20","2","3","4","1","45","3","2","8","3","2","6932","24406","1","0","13","3","4","1","9","2","2","9","8","0","0"
"17","17","32","0","2","498","2","3","4","4","3","1","93","3","2","5","1","2","6725","13554","1","0","12","3","3","1","8","2","4","8","7","6","3"
"18","18","46","0","1","1144","2","7","4","4","3","1","30","3","2","5","3","2","5258","16044","2","0","14","3","3","0","7","2","4","1","0","0","0"
"19","19","34","0","2","181","2","2","4","4","4","2","97","4","1","7","4","2","2932","5586","0","1","14","3","1","3","6","3","3","5","0","1","2"
"20","20","44","0","2","170","2","1","4","2","2","2","78","4","2","1","1","2","5033","9364","2","0","15","3","4","1","10","5","3","2","0","2","2"
"21","21","36","0","2","913","2","9","2","4","2","2","48","2","2","5","2","3","8847","13934","2","1","11","3","3","1","13","2","3","3","2","0","2"
"22","22","48","0","2","817","3","2","1","3","2","2","56","4","2","8","2","2","8120","18597","3","0","12","3","4","0","12","3","3","2","2","2","2"
"23","23","43","0","3","1001","2","9","5","4","4","2","72","3","2","3","3","3","5679","19627","3","1","13","3","2","1","10","3","3","8","7","4","7"
"24","24","31","0","3","715","3","2","4","5","4","2","54","3","2","8","1","1","5332","21602","7","0","13","3","4","0","10","3","3","5","2","0","3"
"25","25","33","0","2","1069","2","1","3","2","2","1","42","2","2","1","4","1","6949","12291","0","0","14","3","1","0","6","3","3","5","0","1","4"
"26","26","44","0","2","1099","3","5","3","3","2","2","88","3","5","4","2","2","18213","8751","7","0","11","3","3","1","26","5","3","22","9","3","10"
"27","27","38","0","2","1245","3","14","3","2","3","2","80","3","2","8","2","2","9924","12355","0","0","11","3","4","1","10","3","3","9","8","7","7"
"28","28","33","1","2","603","3","9","4","3","1","1","77","3","2","8","1","1","8224","18385","0","1","17","3","1","0","6","3","3","5","2","0","3"
"29","29","53","1","2","1168","3","24","4","2","1","2","66","3","3","8","1","1","10448","5843","6","1","13","3","2","0","15","2","2","2","2","2","2"
"30","30","52","0","1","715","2","19","4","4","4","2","41","3","1","7","4","2","4258","26589","0","0","18","3","1","1","5","3","3","4","3","1","2"
"31","31","32","0","3","689","3","9","2","4","4","2","35","1","2","8","4","3","4668","22812","0","0","17","3","4","3","9","2","4","8","7","0","7"
"32","32","33","0","2","267","2","21","3","4","2","2","79","4","1","3","2","2","2028","13637","1","0","18","3","4","3","14","6","3","14","11","2","13"
"33","33","46","0","2","488","3","2","3","6","3","1","75","1","4","4","2","2","16872","14977","3","1","12","3","2","1","28","2","2","7","7","7","7"
"34","34","35","0","2","982","2","1","4","4","4","2","58","2","1","3","3","2","2258","16340","6","0","12","3","2","1","10","2","3","8","0","1","7"
"35","35","32","0","2","1373","2","5","4","2","4","2","56","2","2","5","4","1","9679","10138","8","0","24","4","2","0","8","1","3","1","0","0","0"
"36","36","32","0","3","1311","2","7","3","2","2","2","100","4","1","3","2","2","2794","26062","1","0","20","4","3","0","5","3","1","5","1","0","3"
"37","37","35","1","2","737","3","10","3","4","4","2","55","2","3","8","1","2","10306","21530","9","0","17","3","3","0","15","3","3","13","12","6","0"
"38","38","36","1","2","1456","3","13","5","3","2","2","96","2","2","8","1","3","6134","8658","5","1","13","3","2","3","16","3","3","2","2","2","2"
"39","39","56","0","2","206","1","8","4","2","4","2","99","3","5","4","2","1","19717","4022","6","0","14","3","1","0","36","4","3","7","3","7","7"
"40","40","31","0","3","793","3","20","3","2","3","2","67","4","1","9","4","2","2791","21981","0","0","12","3","1","1","3","4","3","2","2","2","2"
"41","41","58","0","1","350","3","2","3","4","2","2","52","3","4","4","2","3","16291","22577","4","0","22","4","4","1","37","0","2","16","9","14","14"
"42","42","45","0","2","954","3","2","2","6","2","2","46","1","2","9","3","1","6632","12388","0","0","13","3","1","0","9","3","3","8","7","3","1"
"43","43","49","0","2","464","2","16","3","4","4","1","74","3","1","3","1","3","2587","24941","4","1","16","3","2","1","17","2","2","2","2","2","2"
"44","44","42","0","2","1059","2","9","2","5","4","2","93","2","5","4","4","1","19613","26362","8","0","22","4","4","0","24","2","3","1","0","0","1"
"45","45","23","0","2","373","2","1","2","2","4","2","47","3","1","7","3","2","1223","16901","1","0","22","4","4","1","1","2","3","1","0","0","1"
"46","46","42","0","3","748","2","9","2","4","1","1","74","3","1","3","4","1","3673","16458","1","0","13","3","3","0","12","3","3","12","9","5","8"
"47","47","32","1","2","964","3","1","2","2","1","2","34","1","2","8","2","1","6735","12147","6","0","15","3","2","0","10","2","3","0","0","0","0"
"48","48","38","0","2","770","3","10","4","3","3","2","73","2","3","8","3","3","8740","5569","0","1","14","3","2","2","9","2","3","8","7","2","7"
"49","49","18","1","3","1306","3","5","3","3","2","2","69","3","1","9","2","1","1878","8059","1","1","14","3","4","0","0","3","3","0","0","0","0"
"50","50","27","0","1","691","2","9","3","4","4","2","57","3","1","7","2","3","2024","5970","6","0","18","3","4","1","6","1","1","2","2","2","2"
"51","51","38","0","2","362","2","1","1","2","3","1","43","3","1","7","1","1","2619","14561","3","0","17","3","4","0","8","3","2","0","0","0","0"
"52","52","58","0","2","1055","2","1","3","4","4","1","76","3","5","6","1","2","19701","22456","3","1","21","4","3","1","32","3","3","9","8","1","5"
"53","53","44","0","2","1117","2","2","1","2","1","1","72","4","1","7","4","2","2011","19982","1","0","13","3","4","1","10","5","3","10","5","7","7"
"54","54","45","0","1","805","2","4","2","2","3","2","57","3","2","3","2","2","4447","23163","1","0","12","3","2","0","9","5","2","9","7","0","8"
"55","55","31","0","2","746","2","8","4","2","3","1","61","3","2","5","4","1","4424","20682","1","0","23","4","4","0","11","2","3","11","7","1","8"
"56","56","41","0","2","548","2","9","4","2","3","2","94","3","1","3","1","3","2289","20520","1","0","20","4","2","2","5","2","3","5","3","0","4"
"57","57","42","1","3","933","2","19","3","4","3","2","57","4","1","7","3","3","2759","20366","6","1","12","3","4","0","7","2","3","2","2","2","2"
"58","58","29","0","2","1370","2","3","1","4","2","2","87","3","1","3","1","1","4723","16213","1","1","18","3","4","0","10","3","3","10","9","1","5"
"59","59","37","0","1","728","2","1","4","4","1","1","80","3","3","6","4","3","13603","11677","2","1","18","3","1","2","15","2","3","5","2","0","2"
"60","60","25","1","3","599","3","24","1","2","3","2","73","1","1","9","4","1","1118","8040","1","1","14","3","4","0","1","4","3","1","0","1","0"
"61","61","36","1","2","530","3","3","1","2","3","2","51","2","3","8","4","2","10325","5518","1","1","11","3","1","1","16","6","3","16","7","3","7"
"62","62","36","0","2","325","2","10","4","6","4","1","63","3","3","1","3","2","7094","5747","3","0","12","3","1","0","10","0","3","7","7","1","7"
"63","63","31","0","2","1154","3","2","2","2","1","2","54","3","1","9","3","2","3067","6393","0","0","19","3","3","1","3","1","3","2","2","1","2"
"64","64","18","0","1","1431","2","14","3","4","2","1","33","3","1","7","3","1","1514","8018","1","0","16","3","3","0","0","4","1","0","0","0","0"
"65","65","24","1","2","984","2","17","2","2","4","1","97","3","1","3","2","2","2210","3372","1","0","13","3","1","1","1","3","1","1","0","0","0"
"66","66","32","0","2","334","2","5","2","2","1","2","80","4","1","7","2","3","3298","15053","0","1","12","3","4","2","7","5","2","6","2","0","5"
"67","67","35","0","2","1017","2","6","4","2","2","2","82","1","2","7","4","1","6646","19368","1","0","13","3","2","0","17","3","3","17","11","11","8"
"68","68","23","0","2","571","2","12","2","5","4","2","78","3","1","3","4","1","2647","13672","1","0","13","3","3","0","5","6","4","5","2","1","4"
"69","69","35","0","3","664","2","1","3","4","2","2","79","3","1","7","1","2","2194","5868","4","0","13","3","4","1","5","2","2","3","2","1","2"
"70","70","37","0","2","1372","2","1","3","2","4","1","42","3","1","7","4","1","2115","15881","1","0","12","3","2","0","17","3","3","17","12","5","7"
"71","71","41","0","2","642","2","1","3","2","4","2","76","3","1","7","4","2","2782","21412","3","0","22","4","1","1","12","3","3","5","3","1","0"
"72","72","28","0","2","866","3","5","3","4","4","2","84","3","2","8","1","1","8463","23490","0","0","18","3","4","0","6","4","3","5","4","1","3"
"73","73","35","1","2","556","2","23","2","2","2","2","50","2","2","5","3","2","5916","15497","3","1","13","3","1","0","8","1","3","1","0","0","1"
"74","74","41","0","2","167","2","12","4","2","2","2","46","3","1","3","4","2","4766","9051","3","1","11","3","1","1","6","4","3","1","0","0","0"
"75","75","52","1","2","1030","3","5","3","2","2","2","64","3","3","8","2","1","8446","21534","9","1","19","3","3","0","10","2","2","8","7","7","7"
"76","76","30","0","3","721","2","1","2","4","3","1","58","3","2","3","4","1","4011","10781","1","0","23","4","4","0","12","2","3","12","8","3","7"
"77","77","34","0","2","971","3","1","3","6","4","2","64","2","3","8","3","2","7083","12288","1","1","14","3","4","0","10","3","3","10","9","8","6"
"78","78","46","0","2","563","3","1","4","2","4","2","56","4","4","4","1","1","17567","3156","1","0","15","3","2","0","27","5","1","26","0","0","12"
"79","79","45","0","1","1052","3","6","3","4","4","1","57","2","3","8","4","1","8865","16840","6","0","12","3","4","0","23","2","3","19","7","12","8"
"80","80","31","0","2","1276","2","2","1","4","4","1","59","1","1","3","4","3","1129","17536","1","1","11","3","3","3","1","4","3","1","0","0","0"
"81","81","37","1","2","1141","2","11","2","4","1","1","61","1","2","1","2","2","4777","14382","5","0","15","3","1","0","15","2","1","1","0","0","0"
"82","82","35","0","2","1370","2","27","4","2","4","2","49","3","2","5","3","2","6883","5151","2","0","16","3","2","1","17","3","3","7","7","0","7"
"83","83","38","0","3","508","2","6","4","2","1","2","72","2","2","5","3","2","5321","14284","2","0","11","3","4","1","10","1","3","8","3","7","7"
"84","84","37","0","2","1319","2","6","3","4","3","2","51","4","2","7","1","3","5974","17001","4","1","13","3","1","2","13","2","3","7","7","6","7"
"85","85","36","0","2","429","2","2","4","2","3","1","53","3","2","5","2","1","5410","2323","9","1","11","3","4","0","18","2","3","16","14","5","12"
"86","86","59","0","2","715","2","2","3","2","3","1","69","2","4","5","4","1","13726","21829","3","1","13","3","1","0","30","4","3","5","3","4","3"
"87","87","47","0","2","703","3","14","4","3","4","2","42","3","2","8","1","1","4960","11825","2","0","12","3","4","0","20","2","3","7","7","1","7"
"88","88","35","1","2","622","2","14","4","5","3","2","39","2","1","3","2","3","3743","10074","1","1","24","4","4","1","5","2","1","4","2","0","2"
"89","89","27","0","3","994","3","8","3","2","4","2","37","3","3","8","3","1","8726","2975","1","0","15","3","4","0","9","0","3","9","8","1","7"
"90","90","46","0","2","705","3","2","4","3","2","1","83","3","5","4","1","1","18947","22822","3","0","12","3","4","0","22","2","2","2","2","2","1"
"91","91","38","0","3","1490","2","2","2","2","4","2","42","3","1","3","4","2","1702","12106","1","1","23","4","3","1","1","3","3","1","0","0","0"
"92","92","29","1","2","408","3","23","1","2","4","1","45","2","3","8","1","2","7336","11162","1","0","13","3","1","1","11","3","1","11","8","3","10"
"93","93","37","1","2","1373","2","2","2","5","4","2","92","2","1","3","3","1","2090","2396","6","1","15","3","2","0","7","3","3","0","0","0","0"
"94","94","35","0","2","670","2","10","4","4","1","1","51","3","2","1","3","1","6142","4223","3","1","16","3","3","0","10","4","3","5","2","0","4"
"95","95","50","0","2","1452","2","11","3","2","3","1","53","3","5","4","2","1","19926","17053","3","0","15","3","2","0","21","5","3","5","4","4","4"
"96","96","42","0","2","635","3","1","1","2","2","2","99","3","2","8","3","2","4907","24532","1","0","25","4","3","0","20","3","3","20","16","11","6"
"97","97","46","0","2","228","3","3","3","2","3","1","51","3","4","4","2","2","16606","11380","8","0","12","3","4","1","23","2","4","13","12","5","1"
"98","98","37","0","1","1040","2","2","2","2","3","2","100","2","2","1","4","3","5163","15850","5","0","14","3","4","1","17","2","4","1","0","0","0"
"99","99","29","0","3","410","2","2","1","2","4","1","97","3","1","3","2","2","3180","4668","0","0","13","3","3","3","4","3","3","3","2","0","2"
"100","100","34","0","2","401","2","1","3","2","4","1","86","2","1","3","2","2","3294","3708","5","0","17","3","1","1","7","2","2","5","4","0","2"
"101","101","27","0","2","1377","2","11","1","2","2","2","91","3","1","3","1","2","2099","7679","0","0","14","3","2","0","6","3","4","5","0","1","4"
"102","102","31","0","2","326","3","8","2","2","1","2","31","3","3","8","4","3","10793","8386","1","0","18","3","1","1","13","5","3","13","7","9","9"
"103","103","34","0","1","1381","3","4","4","3","3","1","72","3","2","8","3","2","6538","12740","9","0","15","3","1","1","6","3","3","3","2","1","2"
"104","104","23","0","2","885","2","4","3","4","1","2","58","4","1","7","1","2","2819","8544","2","0","16","3","1","1","5","3","4","3","2","0","2"
"105","105","53","0","2","447","2","2","3","4","4","2","39","4","4","6","2","1","16598","19764","4","0","12","3","2","0","35","2","2","9","8","8","8"
